Demographic,Country,code,L1,L2,L3,Value,Date,Source
Total Population,LK,39,Sabaragamuwa,Ratnapura,Kahawaththa,42468,2001-07-17,Census
Total Population,LK,33,Sabaragamuwa,Ratnapura,Kalawana,48669,2001-07-17,Census
Total Population,LK,9,Sabaragamuwa,Ratnapura,Kiriella,30881,2001-07-17,Census
Total Population,LK,51,Sabaragamuwa,Ratnapura,Kolonna,43693,2001-07-17,Census
Total Population,LK,6,Sabaragamuwa,Ratnapura,Kuruwita,85882,2001-07-17,Census
Total Population,LK,36,Sabaragamuwa,Ratnapura,Nivithigala,59092,2001-07-17,Census
Total Population,LK,21,Sabaragamuwa,Ratnapura,Opanayaka,25470,2001-07-17,Census
Total Population,LK,24,Sabaragamuwa,Ratnapura,Pelmadulla,84966,2001-07-17,Census
Total Population,LK,12,Sabaragamuwa,Ratnapura,Ratnapura,115223,2001-07-17,Census
Total Population,LK,45,Sabaragamuwa,Ratnapura,Weligepola,29099,2001-07-17,Census
Total Population,LK,92,Sabaragamuwa,Kegalle,,785524,2001-07-17,Census
Total Population,LK,9,Sabaragamuwa,Kegalle,Aranayaka,66198,2001-07-17,Census
Total Population,LK,24,Sabaragamuwa,Kegalle,Bulathkohupitiya,45573,2001-07-17,Census
Total Population,LK,30,Sabaragamuwa,Kegalle,Dehiovita,73991,2001-07-17,Census
Total Population,LK,33,Sabaragamuwa,Kegalle,Deraniyagala,44735,2001-07-17,Census
Total Population,LK,15,Sabaragamuwa,Kegalle,Galigamuwa,69104,2001-07-17,Census
Total Population,LK,12,Sabaragamuwa,Kegalle,Kegalle,87637,2001-07-17,Census
Total Population,LK,6,Sabaragamuwa,Kegalle,Mawanella,100192,2001-07-17,Census
Total Population,LK,3,Sabaragamuwa,Kegalle,Rambukkana,75925,2001-07-17,Census
Total Population,LK,21,Sabaragamuwa,Kegalle,Ruwanwella,58892,2001-07-17,Census
Total Population,LK,18,Sabaragamuwa,Kegalle,Warakapola,106038,2001-07-17,Census
Total Population,LK,27,Sabaragamuwa,Kegalle,Yatiyanthota,57239,2001-07-17,Census
