Name,Type,Country,L1,L2,L3,L4
Rinchentse Lhakhang,Cultural Site,BT,Chhukha,Dala,,
Darla Shiv Mandir,Cultural Site,BT,Chhukha,Dala,,
Ketokha Lhakhang,Cultural Site,BT,Chhukha,Bongo,Ketogkha,Ketokha
Meritsemo Lhakhang,Cultural Site,BT,Chhukha,Bongo,Gedu_Miritsemo,Miritsemo
Bongo Lhakhang,Cultural Site,BT,Chhukha,Bongo,Bongo_Phasooma,Bongo
Labtsakha Lhakhang,Cultural Site,BT,Chhukha,Bongo,Gedu_Miritsemo,Gedu
Baeyul Kinzang,Cultural Site,BT,Chhukha,Bongo,Baeyuel Kunzang,Baeyul Kunzang
Gedu Lhakhang,Cultural Site,BT,Chhukha,Bongo,Gedu_Miritsemo,Gedu
Chasilhakha Lhakhang,Cultural Site,BT,Chhukha,Bongo,Choongkha_Chhasilakha,Chasilhakha
Chhongkha Lhakhang,Cultural Site,BT,Chhukha,Bongo,Choongkha_Chhasilakha,Chhongkha
Togtokha Lhakhang,Cultural Site,BT,Chhukha,Bongo,Togtokha_Togtogongm,Togtokha
Togtowom Lhakhang,Cultural Site,BT,Chhukha,Bongo,Togtokha_Togtogongm,Togtogomn
Bachhu Lhakkkhang,Cultural Site,BT,Chhukha,Getana,,
Choeyul Lhakhang,Cultural Site,BT,Chhukha,Getana,,
Tashigang Lhakhang,Cultural Site,BT,Chhukha,Getana,,
Daga Karsel Lhakhang,Cultural Site,BT,Chhukha,Getana,,
Tsebji Lhakhang,Cultural Site,BT,Chhukha,Getana,,
Phusa Lhakhang,Cultural Site,BT,Chhukha,Getana,,
Namgaychoeling Zangdopelri,Cultural Site,BT,Chhukha,Phuentsholing,,
Rabten Lhakhang,Cultural Site,BT,Chhukha,Phuentsholing,,
Duedjom Choekhang,Cultural Site,BT,Chhukha,Phuentsholing,,
Rinchending Lhakhang,Cultural Site,BT,Chhukha,Phuentsholing,,
Phuntsholing Zangdopelri,Cultural Site,BT,Chhukha,Phuentsholing,,
Pelden Tashichoeling Shedra,Cultural Site,BT,Chhukha,Phuentsholing,,
Paachu Lebcha Lhakhang,Cultural Site,BT,Chhukha,Phuentsholing,,
Chorten Kora Lhakhang,Cultural Site,BT,Yangtse,Trashiyangtse,Baaney_Bimkhar,Bimkhar
Dongdi Dzong (Yangtse Old Dzong),Cultural Site,BT,Yangtse,Trashiyangtse,Lichen,Lichen
Yangtse Druthroe,Cultural Site,BT,Yangtse,Trashiyangtse,Baaney_Bimkhar,
Rigsum Gonpa Lhakhang,Cultural Site,BT,Yangtse,Bumdeling,Betsamang,Rigsum Gonepa
Nangkahr Lobdra,Cultural Site,BT,Yangtse,Toedtsho,Nangkhar_Seb,Sep
Gomohu Kora,Cultural Site,BT,Yangtse,Tomzhangtshen,Bainangkhar_Gomkora,Gomphukora
Gangla Nyenshar Lhakhang,Cultural Site,BT,Yangtse,Bumdeling,Pangkhar_Tarphel,Taphel
Dechencholing Lhakhang,Cultural Site,BT,Yangtse,Bumdeling,Ngalimang_Phanteng,Phenteng
Zhapang Lhakhang,Cultural Site,BT,Yangtse,Bumdeling,Betsamang,Lamdrang
Gangkhardung Lhakhang,Cultural Site,BT,Yangtse,Bumdeling,Gangkhardoong_Tshaleng,Tsaling
Phenteng Lhakhang,Cultural Site,BT,Yangtse,Bumdeling,Ngalimang_Phanteng,Ngalimang
Pelri Dechen Gonpa,Cultural Site,BT,Yangtse,Bumdeling,Betsamang,Pelri Goenpa
Dechen Phodrang Zangdo Pelri,Cultural Site,BT,Yangtse,Bumdeling,Bomdhir_Wogmanang,Wongmanang
Nyangteng Lhakhang,Cultural Site,BT,Yangtse,Bumdeling,Ngalimang_Phanteng,Nangteng
Ngalimang Lhakhang,Cultural Site,BT,Yangtse,Bumdeling,Ngalimang_Phanteng,Phenteng
Bangringmo Lhakhang,Cultural Site,BT,Yangtse,Bumdeling,Ngalimang_Phanteng,Phenteng
Kheysu Lhakhang,Cultural Site,BT,Yangtse,Bumdeling,Betsamang,Lamdrang
Garkang Lhakhang,Cultural Site,BT,Yangtse,Bumdeling,Betsamang,Lamdrang
Pangdey Lhakhang,Cultural Site,BT,Yangtse,Bumdeling,Bomdhir_Wogmanang,Wongmanang
Zangbhu Lhakhang,Cultural Site,BT,Yangtse,Bumdeling,Betsamang,Zangphu Goenpa
Dechen Phordrang Lhakhang,Cultural Site,BT,Yangtse,Bumdeling,Bomdhir_Wogmanang,Wongmanang
Khenyel Lhakhang,Cultural Site,BT,Yangtse,Bumdeling,Bomdhir_Wogmanang,Khengyel Goenpa
Badeygang Lhakhang,Cultural Site,BT,Yangtse,Bumdeling,Ngalimang_Phanteng,Phenteng
Shangyuel  Lhakhang,Cultural Site,BT,Yangtse,Bumdeling,Ngalimang_Phanteng,Phenteng
Labar Lhakhang,Cultural Site,BT,Yangtse,Jamkhar,Shingkhar_Tongla,Labar
Larjab Lhakhang,Cultural Site,BT,Yangtse,Jamkhar,Laishoom_Largyab,Jigtsham
Dromshing Lhakhang,Cultural Site,BT,Yangtse,Jamkhar,Rijoong_Yoob,Dromshing
Larjab Lhakhang,Cultural Site,BT,Yangtse,Jamkhar,Laishoom_Largyab,Larjab
Shingkhar Lhakhang,Cultural Site,BT,Yangtse,Jamkhar,Shingkhar_Tongla,Shingkhar
Samtencholing Lhakhang,Cultural Site,BT,Yangtse,Jamkhar,Neydraag_Paechhu,Ninda
Sang Nga Choling Lhakhang,Cultural Site,BT,Yangtse,Jamkhar,Chhema_Taagchhema,Tagchayma
Dekied Choling Lhakhang,Cultural Site,BT,Yangtse,Jamkhar,Laishoom_Largyab,
Golam Zor Lhakhang,Cultural Site,BT,Yangtse,Jamkhar,Rijoong_Yoob,Golomzor
Deudreling Dratshang,Cultural Site,BT,Yangtse,Jamkhar,Rijoong_Yoob,Kizor
Gardung Lhakhang,Cultural Site,BT,Yangtse,Khamdang,Dhomtshang_Karmadzom,Gardung
Samdrup Choling Lhakhang,Cultural Site,BT,Yangtse,Khamdang,Dhomtshang_Karmadzom,Domtsang
Domtshang Lhakhang,Cultural Site,BT,Yangtse,Khamdang,Dhomtshang_Karmadzom,Domtsang
Kanjur Lhakhang,Cultural Site,BT,Yangtse,Khamdang,Dhomtshang_Karmadzom,Daka
Shakshing Lhakhang,Cultural Site,BT,Yangtse,Khamdang,Dhomtshang_Karmadzom,Shakshingma
Darchen Lhakhang,Cultural Site,BT,Yangtse,Khamdang,Dhomtshang_Karmadzom,Dharchen Gonpa
Tadzong Lhakhang,Cultural Site,BT,Yangtse,Khamdang,Dhomtshang_Karmadzom,Domtsang
Bainang Gonpa,Cultural Site,BT,Yangtse,Khamdang,Serpang_Shalli,
Pema Kyedsel Kuenzang Shedrupling,Cultural Site,BT,Yangtse,Khamdang,Serpang_Shalli,Baadep
Khamdang Lhakhang,Cultural Site,BT,Yangtse,Khamdang,Khamdang_Manla,Khamdang
Long_Nyen Choling,Cultural Site,BT,Yangtse,Khamdang,Doongtse_Lengkhar,Liwachen
Janchub Choling,Cultural Site,BT,Yangtse,Khamdang,Nombaring_Shazam,Shazam
Nomaring Lhakhang,Cultural Site,BT,Yangtse,Khamdang,Nombaring_Shazam,Nombaring
Sangay Choling,Cultural Site,BT,Yangtse,Khamdang,Nombaring_Shazam,Dopelchen
Zartsi Lhakang,Cultural Site,BT,Yangtse,Khamdang,Nombaring_Shazam,Zhartsi
Lam Tashi Zangdopelri,Cultural Site,BT,Yangtse,Khamdang,Nombaring_Shazam,Tshenkharla
Pam Choekhang,Cultural Site,BT,Yangtse,Khamdang,Serpang_Shalli,Pam
Kencholing Choekhang,Cultural Site,BT,Yangtse,Khamdang,Serpang_Shalli,Kencholing
Droduel Pemachoeling,Cultural Site,BT,Yangtse,Ramjar,Lengbartang_Woongkhar,Woongkhar
Ragmagang Lhakhang,Cultural Site,BT,Yangtse,Ramjar,Lengbartang_Woongkhar,Woongkhar
Bawoong Lhakhang,Cultural Site,BT,Yangtse,Ramjar,Bawoong,Jalam tag
Sang Nga Choling,Cultural Site,BT,Yangtse,Ramjar,Khalapangthang_Tsang-Rong,Gonpa
Romang Lhakhang,Cultural Site,BT,Yangtse,Ramjar,Bainang-Reb_Romang,Romang
Rigzin  Thoesamcholing Shedra,Cultural Site,BT,Yangtse,Ramjar,Lengbartang_Woongkhar,Woongkhar
Drachen Lhakhang,Cultural Site,BT,Yangtse,Toedtsho,Nangkhar_Seb,
Zimbhula Lhakhang,Cultural Site,BT,Yangtse,Toedtsho,Maeldoong_Omba,Meldung
Toksing Lhakhang,Cultural Site,BT,Yangtse,Toedtsho,Khi-Nyel_Togshing,Tokshing
Rizin Kusumcholing,Cultural Site,BT,Yangtse,Toedtsho,Maeldoong_Omba,Dumang
Sertsho Lhakhang,Cultural Site,BT,Yangtse,Toedtsho,Sertsho,Sertsho
Sengphu Lhakhang,Cultural Site,BT,Yangtse,Toedtsho,Nangkhar_Seb,Sengphu
Jangphoogtse Lhakhang,Cultural Site,BT,Yangtse,Toedtsho,Jangphootse,
Ombga Ney and Lhakhang,Cultural Site,BT,Yangtse,Toedtsho,Maeldoong_Omba,Omba
Gongza Nye,Cultural Site,BT,Yangtse,Toedtsho,Khi-Nyel_Togshing,
Bainangkahr Lhakhang,Cultural Site,BT,Yangtse,Tomzhangtshen,Bainangkhar_Gomkora,Bianangkhar
Kapial Draphu,Cultural Site,BT,Yangtse,Tomzhangtshen,Bainangkhar_Gomkora,Dhookuloong
Sanga Zabgay Jatshencholing,Cultural Site,BT,Yangtse,Tomzhangtshen,Baagpa_Kuenzangling,Kenmoongdongtoed
Drudra Samdrup Choloing,Cultural Site,BT,Yangtse,Tomzhangtshen,Changmadoong_Soggangnang,Changmadung
Togkaphu Lamai Gonpa,Cultural Site,BT,Yangtse,Tomzhangtshen,Maenchhu_Tsangdhoong,Togkaphug
Togkaphu Lhakhang,Cultural Site,BT,Yangtse,Tomzhangtshen,Maenchhu_Tsangdhoong,Togkaphug
Thrigoen Pema Woeling,Cultural Site,BT,Yangtse,Tomzhangtshen,Maenchhu_Tsangdhoong,Thruechugoen
Kuenphencholing,Cultural Site,BT,Yangtse,Tomzhangtshen,Pang_Lhauzhing,Pang
Tashi Choling,Cultural Site,BT,Yangtse,Tomzhangtshen,Baagpa_Kuenzangling,Kuenzangling
Goekar Tashicholing Lhakhang,Cultural Site,BT,Yangtse,Yalang,Phuyang_Yalang,Yallang
Changlochen Lhakhang,Cultural Site,BT,Yangtse,Yalang,Phuyang_Yalang,Tshangshing
Tashi Thongja Lhakhang,Cultural Site,BT,Yangtse,Yalang,Namthig_Yerphel,Yerphel
Tashi Choling Lhakhang,Cultural Site,BT,Yangtse,Yalang,Namthig_Yerphel,Namthi
SamtenCholing Lhakhang,Cultural Site,BT,Yangtse,Yalang,Chhema_Melongkhar,Melongkhar
Dechencholing Lhakhang,Cultural Site,BT,Yangtse,Yalang,Chhema_Melongkhar,Melongkhar
Chema Lhakhang,Cultural Site,BT,Yangtse,Yalang,Chhema_Melongkhar,Chema
Pema Choling Lhakhang,Cultural Site,BT,Yangtse,Yalang,Dhoogti_Gashing,Dhoogti
Ugyen Choling Lhakahang,Cultural Site,BT,Yangtse,Yalang,Rolam_Thragom,Rollam
Pangtoecholing Lhakhang,Cultural Site,BT,Yangtse,Yalang,Rolam_Thragom,Goenpa
Rinzin Tenpang Thsogkhang,Cultural Site,BT,Yangtse,Yalang,Rolam_Thragom,Rinzintaanpang
Rinchengang Lhakhang,Cultural Site,BT,Yangtse,Trashiyangtse,Bayling,Rinchengang
Zorigchusum Tshogkhang,Cultural Site,BT,Yangtse,Trashiyangtse,Baaney_Bimkhar,Tongchen
Chugom Goenpa,Cultural Site,BT,Yangtse,Trashiyangtse,Bayling,Bayling
Donga Choling Lhakhang,Cultural Site,BT,Yangtse,Trashiyangtse,Baaney_Bimkhar,Chuckchi
Kharsa Lhakhang,Cultural Site,BT,Yangtse,Trashiyangtse,Baaney_Bimkhar,Banye
Sangaten Lhakhang,Cultural Site,BT,Yangtse,Trashiyangtse,Gangkhar,Gankhar
Gomdar Lhakhang,Cultural Site,BT,Yangtse,Trashiyangtse,Gangkhar,Gankhar
Thrumdra Lhakhang,Cultural Site,BT,Yangtse,Trashiyangtse,Rabti,Rabti
Yoeseltse Lhakhang,Cultural Site,BT,Yangtse,Trashiyangtse,Rabti,Rabti
Lhundrup Choling,Cultural Site,BT,Yangtse,Trashiyangtse,Baaney_Bimkhar,Banye
Kuezang Choling,Cultural Site,BT,Yangtse,Trashiyangtse,Baaney_Bimkhar,Bimkhar
Bayling Lhakhang,Cultural Site,BT,Yangtse,Trashiyangtse,Bayling,Bayling
Sep Lhakhang,Cultural Site,BT,Yangtse,Trashiyangtse,Bayling,Sep
Zhadi Lhakhang,Cultural Site,BT,Yangtse,Trashiyangtse,Lichen,Zhadi
Dungkhor Lhakhang,Cultural Site,BT,Yangtse,Trashiyangtse,Lichen,Lichen
Lichen Lhakhang,Cultural Site,BT,Yangtse,Trashiyangtse,Lichen,Lichen
Larjab Lhakhang,Cultural Site,BT,Yangtse,Trashiyangtse,Gangkhar,Gankhar
Ngalangdung Lhakhang,Cultural Site,BT,Yangtse,Trashiyangtse,Lichen,Lichen
lingzhi lhakang,Cultural Site,BT,Paro,Naja,Bemphu_Lingzhi_Nagu,Lingzhi
Tshedra Gempa,Cultural Site,BT,Paro,Naja,Rangzhin-Gang_Tshebji,Rangzhin-Gang
Guru Gang Lhakang,Cultural Site,BT,Paro,Naja,Rangzhin-Gang_Tshebji,Rangzhin-Gang
Tsheudu Gempa,Cultural Site,BT,Paro,Naja,Jazhina_Tsoen-Goen,Jazhina
Yangch Gempa Lhakhang,Cultural Site,BT,Paro,Naja,Jazhina_Tsoen-Goen,Jazhina
Phurdup Pema Yoeling Gempa,Cultural Site,BT,Paro,Doga,Dawakha_Tshongkha,Tshongkha
Gomdrag Lhakkhang,Cultural Site,BT,Paro,Doga,Dawakha_Tshongkha,Dawakha
Tshongkha Neykhang Lhakhang,Cultural Site,BT,Paro,Doga,Dawakha_Tshongkha,Togtokha
Drana Gempa,Cultural Site,BT,Paro,Doga,Dawakha_Tshongkha,Dawakha
Dobje Dzong,Cultural Site,BT,Paro,Doga,Dawakha_Tshongkha,Dawakha
Tashidengkha Lhakhng,Cultural Site,BT,Paro,Doga,Khamdraag_Sali,Tashigang
Chilkar Gempa Lhakhang,Cultural Site,BT,Paro,Doga,Khamdraag_Sali,Silu Goenpa
Serlang Gempa,Cultural Site,BT,Paro,Doga,Khamdraag_Sali,Silu Goenpa
Kathog Gempa,Cultural Site,BT,Paro,Doga,Khamdraag_Sali,Sali
jadu Gang,Cultural Site,BT,Paro,Doga,Khamdraag_Sali,Khamdraag
Khamdrak Sangachaing,Cultural Site,BT,Paro,Doga,Khamdraag_Sali,Khamdraag
Dratekha Lhakhang,Cultural Site,BT,Paro,Doga,Tenchhekha_Tsiphu,Tenchhekha
Chogtse Lhakhang,Cultural Site,BT,Paro,Doga,Tenchhekha_Tsiphu,Tsiphu
Gang Jug Bume Lhakhang,Cultural Site,BT,Paro,Doga,Tenchhekha_Tsiphu,Tsiphu
Droley Lhakhang,Cultural Site,BT,Paro,Doga,Goensakha_Phuchhekha,Goensakha
Eusakha Lhakhang,Cultural Site,BT,Paro,Doga,Mendrel_Uesuna,Uesuna
Phuchekha Lhakhang,Cultural Site,BT,Paro,Doga,Goensakha_Phuchhekha,Phuchhekha
Tshelgang Tamo Lhakhang,Cultural Site,BT,Paro,Doga,Goensakha_Phuchhekha,Tshoelgang
Jabkhar Lhakhang,Cultural Site,BT,Paro,Doga,Mendrel_Uesuna,Mendrel Jabkha
Eusukha Lhakhang,Cultural Site,BT,Paro,Doga,Mendrel_Uesuna,Uesuna
Takchog Lhakhang,Cultural Site,BT,Paro,Doga,Mendrel_Uesuna,Tamchhoegang
Jabdo Gempa,Cultural Site,BT,Paro,Shapa,Drugyaldingkha,Teli
Jamling Gempa,Cultural Site,BT,Paro,Shapa,Drugyaldingkha,Gangri
Jamling Gempa,Cultural Site,BT,Paro,Shapa,Drugyaldingkha,Gangri
Drukdhing Lhakhang,Cultural Site,BT,Paro,Shapa,Drugyaldingkha,Drugyaldingkha
Lhakhang,Cultural Site,BT,Monggar,Narang,Thrinangphu,Gutshaptang
Karma Choling Lhakhang,Cultural Site,BT,Monggar,Chhali,Gonpa,Gonpasarwa
Gensar lhakahng,Cultural Site,BT,Monggar,Chhali,Gonpa,Gonpasarwa
Damcha Lhakhang,Cultural Site,BT,Monggar,Chhali,Wangmakhar,Wangmakhar Lhakhang
Dungkor Lhakhang,Cultural Site,BT,Monggar,Chhali,Wangmakhar,Wangmakhar Lhakhang
Dechencholing Lhakahng,Cultural Site,BT,Monggar,Chhali,Chaling,Chali
Shangaty Lhakahng,Cultural Site,BT,Monggar,Chhali,Gonpa,Gonpasarwa
Dungkor Lhakhang,Cultural Site,BT,Monggar,Chhali,Gonpa,Gonpasarwa
Dungkor Lhakhang,Cultural Site,BT,Monggar,Chhali,Gonpa,Sapoktor
Dungkor Lhakhang,Cultural Site,BT,Monggar,Chhali,Pangthang,Charzhong
Dungkor Lhakahng,Cultural Site,BT,Monggar,Chhali,Pangthang,Tshamkhang
Yakdu Lhakhang,Cultural Site,BT,Monggar,Chaskhar,Yetong_Jarshingpogtor,Yetong
Ugyen Donga Shedrup Choekhorling,Cultural Site,BT,Monggar,Chaskhar,Doongsingma_Pam,Dungsingma
Phendey Choling Lhakhang,Cultural Site,BT,Monggar,Chaskhar,Yetong_Jarshingpogtor,Jarshingpoktor
Doongkarcholing Lhakahng,Cultural Site,BT,Monggar,Chaskhar,Borphai_Chagsakhar,Goenpasingma
Yoesel Choling Lhakahng,Cultural Site,BT,Monggar,Chaskhar,Borphai_Chagsakhar,Goenpasingma
Kheri Lhakahng,Cultural Site,BT,Monggar,Chaskhar,Borphai_Chagsakhar,Goenpasingma
Limi Lhakhang,Cultural Site,BT,Monggar,Drametse,Serkhagpu_Yengkhartshing,Lemi
Bazor Lhakhang,Cultural Site,BT,Monggar,Drametse,Serkhagpu_Yengkhartshing,Bazor
Garpa Lhakhang,Cultural Site,BT,Monggar,Drametse,Drametse_Shaphangma,Shaphangma
Drupchu Lhakhang,Cultural Site,BT,Monggar,Drametse,Serkhagpu_Yengkhartshing,Kueshewong
Dramestse Lhakhang,Cultural Site,BT,Monggar,Drametse,Drametse_Shaphangma,Drametse
Samtenling Lhakhang,Cultural Site,BT,Monggar,Drepung,Drepoong,Salangzor
Pelden Dukzhing Goenpa,Cultural Site,BT,Monggar,Drepung,Drepoong,Changshingjab
Yongkala,Cultural Site,BT,Monggar,Drepung,Nyamla Bainangri,Nyamla
Laptsha Goenpal,Cultural Site,BT,Monggar,Drepung,Nyamla Bainangri,Nyamla
Woongdaza Lhakhang,Cultural Site,BT,Monggar,Drepung,Nyamla Bainangri,
Nymla Lhakhang,Cultural Site,BT,Monggar,Drepung,Nyamla Bainangri,Nyamla
Jawdi Lhakhang,Cultural Site,BT,Monggar,Drepung,Nyamla Bainangri,Jawdey
Woop Lhakhang,Cultural Site,BT,Monggar,Drepung,Drepoong,Woop pek
Zunglen Lhakhang,Cultural Site,BT,Monggar,Drepung,Zunglen,Zunglen
Ugyen Yoeselcholing Lhakhang,Cultural Site,BT,Monggar,Drepung,Tsangkhar,Chaksuzor
Kuenphen Yoesel Choling Lhakhang,Cultural Site,BT,Monggar,Drepung,Drepoong,Bumpazor
Rinchenling,Cultural Site,BT,Monggar,Gongdue,Pikari_Yangbari,Yangbari
Tshugla Lhakhang,Cultural Site,BT,Monggar,Gongdue,Damkhar_Weringla,Pangthang
Tshugla Lhakhang,Cultural Site,BT,Monggar,Gongdue,Damkhar_Weringla,Photsala
Tashiling Lhakhang,Cultural Site,BT,Monggar,Gongdue,Damkhar_Weringla,Damkhar
Tshokiling Lhakhang,Cultural Site,BT,Monggar,Gongdue,Daagsa_Kumazong,Daksa
Jangchubling Lhakhang,Cultural Site,BT,Monggar,Gongdue,Baagla_Dengkaling,Bakla
Dengkaling Lhakhang,Cultural Site,BT,Monggar,Gongdue,Baagla_Dengkaling,Dengkaling
Chimi Lhendup Gatshel,Cultural Site,BT,Monggar,Narang,Thrinangphu,Lhakhang
Ngukphu Thogma Lhakhang,Cultural Site,BT,Monggar,Kengkhar,Kyidpari_Yudari,Kidpari
Ngukphu Wogma Lhakhang,Cultural Site,BT,Monggar,Kengkhar,Kyidpari_Yudari,Udari
Theck Cho Yosel Choling Lhakhang,Cultural Site,BT,Monggar,Kengkhar,Kyidpari_Yudari,Kidpari
Shajula Lhakhang,Cultural Site,BT,Monggar,Kengkhar,Tongla_Zi-Tsibi,Shajula
Khuipangmo Lhakhang,Cultural Site,BT,Monggar,Kengkhar,Tongla_Zi-Tsibi,Zitsebi
Dungkar Gonpa Lhakhang,Cultural Site,BT,Monggar,Kengkhar,Phosothong_singchongri,Shingchongri
Kadam Lhakhang,Cultural Site,BT,Monggar,Kengkhar,Phosothong_singchongri,Shingchongri
Gyalkhar Lhakhang,Cultural Site,BT,Monggar,Kengkhar,Olokid_Talabi,Gyalkhar
Nanari Lhkhang,Cultural Site,BT,Monggar,Kengkhar,Neykorlong_Warongborang,Nanaric
Tshowang Lhakhang,Cultural Site,BT,Monggar,Kengkhar,Neykorlong_Warongborang,Nakolog
Chiphu Lhakhang,Cultural Site,BT,Monggar,Kengkhar,Neykorlong_Warongborang,Nakolog
Murung Lhakhang,Cultural Site,BT,Monggar,Kengkhar,Dogtang_Mooroong,Murung
Ugyen Gatshel Lhakhakhang,Cultural Site,BT,Monggar,Jurmey,Bilam_Dangkila,Bilam
Dungkar Choeling Lhakhang,Cultural Site,BT,Monggar,Jurmey,Moodoongkhar_Tselam,Tselam
Bayul Lhakhang,Cultural Site,BT,Monggar,Jurmey,Bilam_Dangkila,Bilam
Menchaphu Lhakhang,Cultural Site,BT,Monggar,Jurmey,Bilam_Dangkila,Bilam
Menchaphu Ngayub Choeling Lhakhang,Cultural Site,BT,Monggar,Jurmey,Bilam_Dangkila,Bilam
Ngamphu Lhakhang,Cultural Site,BT,Monggar,Jurmey,Ngamphu_Sangkama,Ngamphu
Rakta Lhakhang,Cultural Site,BT,Monggar,Jurmey,Koknala_Ya-Ragla,Ya-Rakla
Ringfu Gonpa Lhakhang,Cultural Site,BT,Monggar,Jurmey,Moogtangkhar_Tsangkhazor,Muktangkhar
Sangkama Ugyen Choling,Cultural Site,BT,Monggar,Jurmey,Ngamphu_Sangkama,Sangkama
Singsiri Lhakhang,Cultural Site,BT,Monggar,Jurmey,Bilam_Dangkila,Bilam
Chinchari Lhakhang,Cultural Site,BT,Monggar,Jurmey,Bilam_Dangkila,Chenchhari
Threma Lhakhang,Cultural Site,BT,Haa,Katsho,,
Sangkiri chorten,Cultural Site,BT,Haa,Uesu,Pajekha_Sangkiri,Sangkiri
Tsholing Lhakahng,Cultural Site,BT,Monggar,Saleng,Saling,Tsholing
Dongag Woesel Choeling Lhakhang,Cultural Site,BT,Monggar,Saleng,Saling,Saling
Broksar Ugyen Choeling Lhakhang,Cultural Site,BT,Monggar,Saleng,Drogsar,Drogsar
Kuenzang Choeling/Tokapang Lhakhang,Cultural Site,BT,Monggar,Saleng,Drogsar,Maangling
Masangdaza Peam Yoeling/ Dungkarcholing Lhakhang,Cultural Site,BT,Monggar,Saleng,Tsenzabi_Masangdaza,Masangdaza
Jangdung Samdrupcholing Lhakahng,Cultural Site,BT,Monggar,Saleng,Tsenzabi_Masangdaza,Jangdung
Tsenzabi Namdak Choeling Lhakhang,Cultural Site,BT,Monggar,Saleng,Tsenzabi_Masangdaza,Tsenzibi
Thridangbi Samtenchoying Phodrangling Lhakahng,Cultural Site,BT,Monggar,Saleng,Thridangbi,
Sengor Ugyen Pelri Lhakhang,Cultural Site,BT,Monggar,Saleng,Seng-Gor,Seng-Gor
Kalapang Lhonub Ngayab Pelri Lhakhang,Cultural Site,BT,Monggar,Saleng,Kalapang_Risa,Kalapang
Resa Tashi Choling Lhakhang,Cultural Site,BT,Monggar,Saleng,Kalapang_Risa,Resa
Gophu Goenpa,Cultural Site,BT,Dagana,Tseza,Karlingdzingkha,Karlingzingkha
Drupchu Goenpa,Cultural Site,BT,Monggar,Balam,Balam,
Jadung Lhakhang,Cultural Site,BT,Monggar,Balam,Jadung,
Sangayoeselcholing lhakhang,Cultural Site,BT,Monggar,Balam,Khebshing,
Guru Tsokhor Lhakhang,Cultural Site,BT,Monggar,Balam,Khebshing,
Zangdopelri,Cultural Site,BT,Monggar,Balam,Khebshing,
Guru Lhakhang,Cultural Site,BT,Monggar,Balam,Jadung,Upper jadung
Shami Lhakahng,Cultural Site,BT,Monggar,Mongar,Kidekhar,
Dungkhor Lhakhang,Cultural Site,BT,Monggar,Mongar,Kidekhar,
Lungtok Chuki,Cultural Site,BT,Monggar,Mongar,Kidekhar,
Jaiphu Lhakhang,Cultural Site,BT,Monggar,Mongar,Phosorong,Phosorong
Nangyeezor Lhakhang,Cultural Site,BT,Monggar,Mongar,Phosorong,Nangyee Zor
Pongchula Lhakhang,Cultural Site,BT,Monggar,Mongar,Phosorong,Pongchula
Kadam Gomdhey,Cultural Site,BT,Monggar,Mongar,Phosorong,Phosorong
Yagang Pema Choing,Cultural Site,BT,Monggar,Mongar,Phosorong,Phosorong
Tsenlung Lhakahng,Cultural Site,BT,Monggar,Mongar,Phosorong,Phosorong
Naling Lhakhang,Cultural Site,BT,Monggar,Mongar,Phosorong,Phosorong
Kadam Lhakhang,Cultural Site,BT,Monggar,Mongar,Phosorong,Kadam
Takchu Gonpa,Cultural Site,BT,Monggar,Mongar,Konbar_Tagchu,Takchu
Takchu Lhakhang,Cultural Site,BT,Monggar,Mongar,Konbar_Tagchu,Takchu
Tadmpa,Cultural Site,BT,Monggar,Mongar,Konbar_Tagchu,Tadampa
KOnbar Dungjur,Cultural Site,BT,Monggar,Mongar,Konbar_Tagchu,Konbar
Thrigburi Lhakhang,Cultural Site,BT,Monggar,Mongar,Konbar_Tagchu,Konbar
Thakchen Chakna,Cultural Site,BT,Monggar,Mongar,Themnangbi_Ketongri,
Kunegacholing,Cultural Site,BT,Monggar,Mongar,Themnangbi_Ketongri,Bachu
Wengkhar Nagtshang,Cultural Site,BT,Monggar,Mongar,Wengkhar_Yagpoogang,Naktsang
Kadam Jangchub,Cultural Site,BT,Monggar,Mongar,Wengkhar_Yagpoogang,Wengkhar
Kharabshing Lhakhang,Cultural Site,BT,Monggar,Mongar,Wengkhar_Yagpoogang,Kharabshing
Shaydrup Choling,Cultural Site,BT,Monggar,Mongar,Wengkhar_Yagpoogang,Yakpogang
Gyalpozhing Lhakhang,Cultural Site,BT,Monggar,Mongar,Gyalpoizhing_Wangling,
Yangchen Loeseling Shedra,Cultural Site,BT,Monggar,Mongar,Kidekhar,
Khuitangbu,Cultural Site,BT,Monggar,Mongar,Wengkhar_Yagpoogang,Jaibab
Nagor Lhakhang,Cultural Site,BT,Monggar,Silambi,Nagor,Nagor Trong
Dag Lhakhang,Cultural Site,BT,Monggar,Silambi,Dag,
Jangchub Choeling Lhakhang,Cultural Site,BT,Monggar,Silambi,Gyalgong,Gyelong Toe
Sheripong Lhakhang,Cultural Site,BT,Monggar,Silambi,Wama,
Wama Lhakhang,Cultural Site,BT,Monggar,Silambi,Wama,
Kadam Lhakhang,Cultural Site,BT,Monggar,Silambi,Silambi,Silambi
Laijuk Lhakhang,Cultural Site,BT,Monggar,Silambi,Nagor,Laiju
Serbum Lhakhang,Cultural Site,BT,Monggar,Tsamang,Thuenmong_Tokari,Tokari
Tokari Lhakhang,Cultural Site,BT,Monggar,Tsamang,Thuenmong_Tokari,Tokari
