"L2","L2 KV:PSGC","L3","L3 KV:PSGC"
"Zamboanga del Norte",97200000,"Pres. Manuel A. Roxas",97211000
"Camarines Sur",51700000,"Presentacion (Parubcan)",51729000
"Sultan Kudarat",126500000,"President Quirino",126510000
"Cotabato (North Cotabato)",124700000,"President Roxas",124713000
"Capiz",61900000,"President Roxas",61913000
"Sorsogon",56200000,"Prieto Diaz",56214000
"Agusan del Sur",160300000,"Prosperidad (capital)",160306000
"Lanao del Sur",153600000,"Pualas",153623000
"Apayao",148100000,"Pudtol",148106000
"Oriental Mindoro",175200000,"Puerto Galera",175211000
"La Union",13300000,"Pugo",13312000
"Bulacan",31400000,"Pulilan",31418000
"Negros Occidental",64500000,"Pulupandan",64522000
"Tarlac",36900000,"Pura",36911000
"Palawan",175300000,"Quezon",175317000
"Isabela",23100000,"Quezon",23122000
"Bukidnon",101300000,"Quezon",101317000
"Quezon",45600000,"Quezon",45637000
"Nueva Vizcaya",25000000,"Quezon",25011000
"Nueva Ecija",34900000,"Quezon",34922000
"Eastern Samar",82600000,"Quinapondan",82618000
"Isabela",23100000,"Quirino",23123000
"Ilocos Sur",12900000,"Quirino (Angkaki)",12915000
"Camarines Sur",51700000,"Ragay",51730000
"Maguindanao",153800000,"Rajah Buayan",153829000
"Isabela",23100000,"Ramon",23124000
"Zamboanga del Sur",97300000,"Ramon Magsaysay (Liargo)",97323000
"Tarlac",36900000,"Ramos",36912000
"Albay",50500000,"Rapu-Rapu",50515000
"Quezon",45600000,"Real",45638000
"Isabela",23100000,"Reina Mercedes",23125000
"Agusan del Norte",160200000,"Remedios T. Romualdez",160212000
"Nueva Ecija",34900000,"Rizal",34923000
"Occidental Mindoro",175100000,"Rizal",175108000
"Zamboanga del Norte",97200000,"Rizal",97212000
"Cagayan",21500000,"Rizal",21521000
"Laguna",43400000,"Rizal",43423000
"Kalinga",143200000,"Rizal (Liwan)",143211000
"Palawan",175300000,"Rizal (Marcos)",175323000
"Rizal",45800000,"Rodriguez (Montalban)",45808000
"Romblon",175900000,"Romblon (capital)",175910000
"Cebu",72200000,"Ronda",72239000
"Pangasinan",15500000,"Rosales",15531000
"Batangas",41000000,"Rosario",41021000
"Agusan del Sur",160300000,"Rosario",160307000
"Northern Samar",84800000,"Rosario",84816000
"La Union",13300000,"Rosario",13313000
"Cavite",42100000,"Rosario",42117000
"Zamboanga Sibugay",98300000,"Roseller Lim",98312000
"Oriental Mindoro",175200000,"Roxas",175212000
"Isabela",23100000,"Roxas",23126000
"Palawan",175300000,"Roxas",175318000
"Mountain Province",144400000,"Sabangan",144407000
"Benguet",141100000,"Sablan",141112000
"Occidental Mindoro",175100000,"Sablayan",175109000
"Batanes",20900000,"Sabtang",20905000
"Mountain Province",144400000,"Sadanga",144408000
"Mountain Province",144400000,"Sagada",144409000
"Camiguin",101800000,"Sagay",101805000
"Bohol",71200000,"Sagbayan (Borja)",71236000
"Camarines Sur",51700000,"Sagñay",51731000
"Quirino",25700000,"Saguday",25705000
"Lanao del Sur",153600000,"Saguiaran",153625000
"Southern Leyte",86400000,"Saint Bernard",86412000
"Misamis Oriental",104300000,"Salay",104322000
"Eastern Samar",82600000,"Salcedo",82619000
"Ilocos Sur",12900000,"Salcedo (Baugen)",12916000
"Abra",140100000,"Sallapadan",140120000
"Zamboanga del Norte",97200000,"Salug",97213000
"Lanao del Norte",103500000,"Salvador",103518000
"Negros Occidental",64500000,"Salvador Benedicto",64532000
"Bataan",30800000,"Samal",30812000
"Cebu",72200000,"Samboan",72240000
"Quezon",45600000,"Sampaloc",45639000
"Surigao del Sur",166800000,"San Agustin",166815000
"Isabela",23100000,"San Agustin",23127000
"Romblon",175900000,"San Agustin",175911000
"Quezon",45600000,"San Andres",45640000
"Romblon",175900000,"San Andres",175912000
"Catanduanes",52000000,"San Andres (Calolbon)",52008000
"Nueva Ecija",34900000,"San Antonio",34924000
"Northern Samar",84800000,"San Antonio",84817000
"Quezon",45600000,"San Antonio",45641000
"Zambales",37100000,"San Antonio",37109000
"Surigao del Norte",166700000,"San Benito",166718000
"Tarlac",36900000,"San Clemente",36913000
"Iloilo",63000000,"San Dionisio",63038000
"Ilocos Sur",12900000,"San Emilio",12917000
"Negros Occidental",64500000,"San Enrique",64525000
"Iloilo",63000000,"San Enrique",63039000
"Ilocos Sur",12900000,"San Esteban",12918000
"Pangasinan",15500000,"San Fabian",15533000
"Zambales",37100000,"San Felipe",37110000
"Masbate",54100000,"San Fernando",54118000
"Bukidnon",101300000,"San Fernando",101318000
"Cebu",72200000,"San Fernando",72241000
"Romblon",175900000,"San Fernando",175913000
"Camarines Sur",51700000,"San Fernando",51732000
"Agusan del Sur",160300000,"San Francisco",160308000
"Southern Leyte",86400000,"San Francisco",86413000
"Cebu",72200000,"San Francisco",72242000
"Surigao del Norte",166700000,"San Francisco (Anao-Aon)",166719000
"Quezon",45600000,"San Francisco (Aurora)",45642000
"La Union",13300000,"San Gabriel",13315000
"Isabela",23100000,"San Guillermo",23128000
"Ilocos Sur",12900000,"San Ildefonso",12919000
"Bulacan",31400000,"San Ildefonso",31419000
"Abra",140100000,"San Isidro",140121000
"Nueva Ecija",34900000,"San Isidro",34925000
"Davao Oriental",112500000,"San Isidro",112510000
"Northern Samar",84800000,"San Isidro",84818000
"Bohol",71200000,"San Isidro",71237000
"Davao del Norte",112300000,"San Isidro",112324000
"Isabela",23100000,"San Isidro",23129000
"Leyte",83700000,"San Isidro",83742000
"Surigao del Norte",166700000,"San Isidro",166720000
"Pangasinan",15500000,"San Jacinto",15534000
"Masbate",54100000,"San Jacinto",54119000
"Iloilo",63000000,"San Joaquin",63040000
"Samar (Western Samar)",86000000,"San Jorge",86025000
"Occidental Mindoro",175100000,"San Jose",175110000
"Camarines Sur",51700000,"San Jose",51733000
"Romblon",175900000,"San Jose",175914000
"Northern Samar",84800000,"San Jose",84819000
"Negros Oriental",74600000,"San Jose",74617000
"Batangas",41000000,"San Jose",41022000
"Tarlac",36900000,"San Jose",36918000
"Dinagat Islands",168500000,"San Jose (capital)",168506000
"Antique",60600000,"San Jose (capital)",60613000
"Samar (Western Samar)",86000000,"San Jose De Buan",86014000
"Siquijor",76100000,"San Juan",76105000
"Abra",140100000,"San Juan",140122000
"La Union",13300000,"San Juan",13316000
"Batangas",41000000,"San Juan",41023000
"Southern Leyte",86400000,"San Juan (Cabalian)",86414000
"Ilocos Sur",12900000,"San Juan (Lapog)",12920000
"Eastern Samar",82600000,"San Julian",82620000
"Nueva Ecija",34900000,"San Leonardo",34927000
"Guimaras",67900000,"San Lorenzo",67904000
"Camarines Norte",51600000,"San Lorenzo Ruiz (Imelda)",51604000
"Aurora",37700000,"San Luis",37708000
"Agusan del Sur",160300000,"San Luis",160309000
"Batangas",41000000,"San Luis",41024000
"Pampanga",35400000,"San Luis",35417000
"Isabela",23100000,"San Manuel",23130000
"Tarlac",36900000,"San Manuel",36914000
"Pangasinan",15500000,"San Manuel",15535000
"Zambales",37100000,"San Marcelino",37111000
"Isabela",23100000,"San Mariano",23131000
"Isabela",23100000,"San Mateo",23132000
"Rizal",45800000,"San Mateo",45811000
"Catanduanes",52000000,"San Miguel",52009000
"Leyte",83700000,"San Miguel",83743000
"Zamboanga del Sur",97300000,"San Miguel",97324000
"Bohol",71200000,"San Miguel",71238000
"Iloilo",63000000,"San Miguel",63041000
"Bulacan",31400000,"San Miguel",31421000
"Surigao del Sur",166800000,"San Miguel",166816000
"Zambales",37100000,"San Narciso",37112000
"Quezon",45600000,"San Narciso",45644000
"Batangas",41000000,"San Nicolas",41025000
"Pangasinan",15500000,"San Nicolas",15536000
"Ilocos Norte",12800000,"San Nicolas",12820000
"Zamboanga del Sur",97300000,"San Pablo",97325000
"Isabela",23100000,"San Pablo",23133000
"Masbate",54100000,"San Pascual",54120000
"Batangas",41000000,"San Pascual",41026000
"Laguna",43400000,"San Pedro",43425000
"Eastern Samar",82600000,"San Policarpo",82621000
"Pangasinan",15500000,"San Quintin",15537000
"Abra",140100000,"San Quintin",140123000
"Iloilo",63000000,"San Rafael",63042000
"Bulacan",31400000,"San Rafael",31422000
"Cebu",72200000,"San Remigio",72243000
"Antique",60600000,"San Remigio",60614000
"Southern Leyte",86400000,"San Ricardo",86415000
"Northern Samar",84800000,"San Roque",84820000
"Samar (Western Samar)",86000000,"San Sebastian",86015000
"Pampanga",35400000,"San Simon",35418000
"Oriental Mindoro",175200000,"San Teodoro",175213000
"Northern Samar",84800000,"San Vicente",84821000
"Camarines Norte",51600000,"San Vicente",51609000
"Palawan",175300000,"San Vicente",175319000
"Ilocos Sur",12900000,"San Vicente",12921000
"Cagayan",21500000,"Sanchez-Mira",21522000
"Ilocos Sur",12900000,"Santa",12922000
"Cagayan",21500000,"Santa Ana",21523000
"Pampanga",35400000,"Santa Ana",35419000
"Pangasinan",15500000,"Santa Barbara",15538000
"Iloilo",63000000,"Santa Barbara",63043000
"Ilocos Sur",12900000,"Santa Catalina",12923000
"Negros Oriental",74600000,"Santa Catalina",74618000
"Zambales",37100000,"Santa Cruz",37113000
"Occidental Mindoro",175100000,"Santa Cruz",175111000
"Ilocos Sur",12900000,"Santa Cruz",12924000
"Marinduque",174000000,"Santa Cruz",174005000
"Davao del Sur",112400000,"Santa Cruz",112412000
"Laguna",43400000,"Santa Cruz (capital)",43426000
"Camarines Norte",51600000,"Santa Elena",51610000
"Cebu",72200000,"Santa Fe",72244000
"Leyte",83700000,"Santa Fe",83744000
"Nueva Vizcaya",25000000,"Santa Fe",25012000
"Romblon",175900000,"Santa Fe",175915000
"Tarlac",36900000,"Santa Ignacia",36915000
"Agusan del Sur",160300000,"Santa Josefa",160310000
"Ilocos Sur",12900000,"Santa Lucia",12925000
"Sorsogon",56200000,"Santa Magdalena",56215000
"Apayao",148100000,"Santa Marcela",148107000
"Samar (Western Samar)",86000000,"Santa Margarita",86016000
"Bulacan",31400000,"Santa Maria",31423000
"Isabela",23100000,"Santa Maria",23134000
"Davao del Sur",112400000,"Santa Maria",112413000
"Ilocos Sur",12900000,"Santa Maria",12926000
"Pangasinan",15500000,"Santa Maria",15539000
"Laguna",43400000,"Santa Maria",43427000
"Romblon",175900000,"Santa Maria (Imelda)",175917000
"Surigao del Norte",166700000,"Santa Monica (Sapao)",166721000
"Cagayan",21500000,"Santa Praxedes",21524000
"Pampanga",35400000,"Santa Rita",35420000
"Samar (Western Samar)",86000000,"Santa Rita",86017000
"Nueva Ecija",34900000,"Santa Rosa",34928000
"Batangas",41000000,"Santa Teresita",41027000
"Cagayan",21500000,"Santa Teresita",21525000
"Cebu",72200000,"Santander",72245000
"Agusan del Norte",160200000,"Santiago",160210000
"Ilocos Sur",12900000,"Santiago",12927000
"Ilocos Sur",12900000,"Santo Domingo",12928000
"Nueva Ecija",34900000,"Santo Domingo",34929000
"Albay",50500000,"Santo Domingo (Libog)",50516000
"South Cotabato",126300000,"Santo Niño",126318000
"Samar (Western Samar)",86000000,"Santo Niño",86018000
"Cagayan",21500000,"Santo Niño (Faire)",21526000
"Isabela",23100000,"Santo Tomas",23136000
"La Union",13300000,"Santo Tomas",13317000
"Batangas",41000000,"Santo Tomas",41028000
"Pangasinan",15500000,"Santo Tomas",15540000
"Davao del Norte",112300000,"Santo Tomas",112318000
"Pampanga",35400000,"Santo Tomas",35421000
"La Union",13300000,"Santol",13318000
"Lanao del Norte",103500000,"Sapad",103519000
"Misamis Occidental",104200000,"Sapang Dalaga",104213000
"Tawi-Tawi",157000000,"Sapa-Sapa",157010000
"Capiz",61900000,"Sapi-An",61915000
"Iloilo",63000000,"Sara",63044000
"Davao del Sur",112400000,"Sarangani",112415000
"Quezon",45600000,"Sariaya",45645000
"Ilocos Norte",12800000,"Sarrat",12821000
"Pampanga",35400000,"Sasmuan (Sexmoan)",35422000
"Antique",60600000,"Sebaste",60615000
"Sultan Kudarat",126500000,"Sen. Ninoy Aquino",126512000
"Zamboanga del Norte",97200000,"Sergio Osmeña Sr.",97214000
"Bohol",71200000,"Sevilla",71239000
"Maguindanao",153800000,"Shariff Aguak (Maganoy) (capital)",153808000
"Sulu",156600000,"Siasi",156612000
"Negros Oriental",74600000,"Siaton",74619000
"Zamboanga Sibugay",98300000,"Siay",98313000
"Zamboanga del Norte",97200000,"Siayan",97215000
"Agusan del Sur",160300000,"Sibagat",160314000
"Antique",60600000,"Sibalom",60616000
"Cebu",72200000,"Sibonga",72246000
"Zamboanga del Norte",97200000,"Sibuco",97216000
"Negros Oriental",74600000,"Sibulan",74620000
"Guimaras",67900000,"Sibunag",67905000
"Zamboanga del Norte",97200000,"Sibutad",97217000
"Tawi-Tawi",157000000,"Sibutu",157011000
"Bohol",71200000,"Sierra Bullones",71240000
"Ilocos Sur",12900000,"Sigay",12929000
"Capiz",61900000,"Sigma",61916000
"Bohol",71200000,"Sikatuna",71241000
"Southern Leyte",86400000,"Silago",86416000
"Cavite",42100000,"Silang",42118000
"Northern Samar",84800000,"Silvino Lobos",84822000
"Tawi-Tawi",157000000,"Simunul",157004000
"Misamis Occidental",104200000,"Sinacaban",104214000
"Ilocos Sur",12900000,"Sinait",12930000
"Zamboanga del Norte",97200000,"Sindangan",97218000
"Laguna",43400000,"Siniloan",43429000
"Zamboanga del Norte",97200000,"Siocon",97219000
"Camarines Sur",51700000,"Sipocot",51734000
"Siquijor",76100000,"Siquijor (capital)",76106000
"Zamboanga del Norte",97200000,"Sirawai",97220000
"Camarines Sur",51700000,"Siruma",51735000
"Surigao del Norte",166700000,"Sison",166722000
"Pangasinan",15500000,"Sison",15541000
"Tawi-Tawi",157000000,"Sitangkai",157005000
"Surigao del Norte",166700000,"Socorro",166723000
"Oriental Mindoro",175200000,"Socorro",175214000
"Palawan",175300000,"Sofronio Española",175324000
"Southern Leyte",86400000,"Sogod",86417000
"Cebu",72200000,"Sogod",72247000
"Cagayan",21500000,"Solana",21527000
"Nueva Vizcaya",25000000,"Solano",25013000
"Ilocos Norte",12800000,"Solsona",12822000
"Zamboanga del Sur",97300000,"Sominot (Don Mariano Marcos)",97340000
"Tawi-Tawi",157000000,"South Ubian",157006000
"Maguindanao",153800000,"South Upi",153817000
"Pangasinan",15500000,"Sual",15542000
"Zambales",37100000,"Subic",37114000
"La Union",13300000,"Sudipen",13319000
"Misamis Oriental",104300000,"Sugbongcogon",104323000
"Ilocos Sur",12900000,"Sugpon",12931000
"Eastern Samar",82600000,"Sulat",82622000
"Davao del Sur",112400000,"Sulop",112414000
"Lanao del Sur",153600000,"Sultan Dumalondong",153640000
"Shariff Kabunsuan",158400000,"Sultan Kudarat (Nuling)",158408000
"Shariff Kabunsuan",158400000,"Sultan Mastura",158409000
"Lanao del Norte",103500000,"Sultan Naga Dimaporo (Karomatan)",103506000
"Maguindanao",153800000,"Sultan Sa Barongis (Lambayong)",153813000
"Bukidnon",101300000,"Sumilao",101319000
"Basilan",150700000,"Sumisip",150705000
"South Cotabato",126300000,"Surallah",126313000
"Ilocos Sur",12900000,"Suyo",12932000
"Batangas",41000000,"Taal",41029000
"Leyte",83700000,"Tabango",83745000
"Zamboanga del Sur",97300000,"Tabina",97327000
"Cebu",72200000,"Tabogon",72248000
"Leyte",83700000,"Tabontabon",83746000
"Cebu",72200000,"Tabuelan",72249000
"Mountain Province",144400000,"Tadian",144410000
"Eastern Samar",82600000,"Taft",82623000
"Surigao del Norte",166700000,"Tagana-An",166725000
"Samar (Western Samar)",86000000,"Tagapul-An",86024000
"Surigao del Sur",166800000,"Tagbina",166817000
"Quezon",45600000,"Tagkawayan",45646000
"Surigao del Sur",166800000,"Tago",166818000
"Misamis Oriental",104300000,"Tagoloan",104324000
"Lanao del Norte",103500000,"Tagoloan",103520000
"Lanao del Sur",153600000,"Tagoloan Ii",153638000
"Ilocos Sur",12900000,"Tagudin",12933000
"Agusan del Sur",160300000,"Talacogon",160311000
"Davao del Norte",112300000,"Talaingod",112322000
"Bukidnon",101300000,"Talakag",101320000
"Samar (Western Samar)",86000000,"Talalora",86019000
"Nueva Ecija",34900000,"Talavera",34930000
"Maguindanao",153800000,"Talayan",153816000
"Bohol",71200000,"Talibon",71243000
"Sulu",156600000,"Talipao",156613000
"Batangas",41000000,"Talisay",41030000
"Camarines Norte",51600000,"Talisay",51611000
"Misamis Oriental",104300000,"Talisayan",104325000
"Maguindanao",153800000,"Talitay",153821000
"Nueva Ecija",34900000,"Talugtug",34931000
"Zamboanga Sibugay",98300000,"Talusan",98314000
"Zamboanga del Sur",97300000,"Tambulig",97328000
"South Cotabato",126300000,"Tampakan",126314000
"Lanao del Sur",153600000,"Tamparan",153626000
"Zamboanga del Norte",97200000,"Tampilisan",97221000
"Leyte",83700000,"Tanauan",83748000
"Rizal",45800000,"Tanay",45812000
"Tawi-Tawi",157000000,"Tandubas",157007000
"Aklan",60400000,"Tangalan",60417000
"Lanao del Norte",103500000,"Tangcal",103521000
"South Cotabato",126300000,"Tantangan",126315000
"Kalinga",143200000,"Tanudan",143214000
"Cavite",42100000,"Tanza",42120000
"Capiz",61900000,"Tapaz",61917000
"Sulu",156600000,"Tapul",156614000
"Lanao del Sur",153600000,"Taraka",153627000
"Samar (Western Samar)",86000000,"Tarangnan",86020000
"Davao Oriental",112500000,"Tarragona",112511000
"Negros Oriental",74600000,"Tayasan",74622000
"Batangas",41000000,"Taysan",41032000
"Rizal",45800000,"Taytay",45813000
"Palawan",175300000,"Taytay",175320000
"Pangasinan",15500000,"Tayug",15543000
"Abra",140100000,"Tayum",140124000
"South Cotabato",126300000,"T'Boli",126316000
"Rizal",45800000,"Teresa",45814000
"Cavite",42100000,"Ternate",42121000
"Quezon",45600000,"Tiaong",45648000
"Antique",60600000,"Tibiao",60617000
"Camarines Sur",51700000,"Tigaon",51736000
"Zamboanga del Sur",97300000,"Tigbao",97344000
"Iloilo",63000000,"Tigbauan",63045000
"Camarines Sur",51700000,"Tinambac",51737000
"Abra",140100000,"Tineg",140125000
"Kalinga",143200000,"Tinglayan",143215000
"Batangas",41000000,"Tingloy",41033000
"Ifugao",142700000,"Tinoc",142710000
"Basilan",150700000,"Tipo-Tipo",150706000
"Zamboanga Sibugay",98300000,"Titay",98315000
"Albay",50500000,"Tiwi",50518000
"Antique",60600000,"Tobias Fornier (Dao)",60607000
"Negros Occidental",64500000,"Toboso",64529000
"Leyte",83700000,"Tolosa",83749000
"Southern Leyte",86400000,"Tomas Oppus",86418000
"Sulu",156600000,"Tongkil",156615000
"Marinduque",174000000,"Torrijos",174006000
"Agusan del Sur",160300000,"Trento",160312000
"Bohol",71200000,"Trinidad",71244000
"Cagayan",21500000,"Tuao",21528000
"Benguet",141100000,"Tuba",141113000
"Dinagat Islands",168500000,"Tubajon",168507000
"La Union",13300000,"Tubao",13320000
"Lanao del Sur",153600000,"Tubaran",153628000
"Agusan del Norte",160200000,"Tubay",160211000
"Bohol",71200000,"Tubigon",71245000
"Benguet",141100000,"Tublay",141114000
"Abra",140100000,"Tubo",140126000
"Surigao del Norte",166700000,"Tubod",166727000
"Lanao del Norte",103500000,"Tubod (capital)",103522000
"Iloilo",63000000,"Tubungan",63046000
"Cebu",72200000,"Tuburan",72252000
"Basilan",150700000,"Tuburan",150707000
"Misamis Occidental",104200000,"Tudela",104216000
"Cebu",72200000,"Tudela",72253000
"Lanao del Sur",153600000,"Tugaya",153629000
"Zamboanga del Sur",97300000,"Tukuran",97330000
"Cotabato (North Cotabato)",124700000,"Tulunan",124714000
"Isabela",23100000,"Tumauini",23137000
"Leyte",83700000,"Tunga",83750000
"Zamboanga Sibugay",98300000,"Tungawan",98316000
"South Cotabato",126300000,"Tupi",126317000
"Tawi-Tawi",157000000,"Turtle Islands",157008000
"Batangas",41000000,"Tuy",41034000
"Bohol",71200000,"Ubay",71246000
"Pangasinan",15500000,"Umingan",15544000
"Basilan",150700000,"Ungkaya Pukan",150711000
"Quezon",45600000,"Unisan",45649000
"Shariff Kabunsuan",158400000,"Upi",158410000
"Pangasinan",15500000,"Urbiztondo",15545000
"Masbate",54100000,"Uson",54121000
"Batanes",20900000,"Uyugan",20906000
"Antique",60600000,"Valderrama",60618000
"Bohol",71200000,"Valencia",71247000
"Negros Oriental",74600000,"Valencia (Luzurriaga)",74623000
"Negros Occidental",64500000,"Valladolid",64530000
"Negros Oriental",74600000,"Vallehermoso",74624000
"Agusan del Sur",160300000,"Veruela",160313000
"Oriental Mindoro",175200000,"Victoria",175215000
"Northern Samar",84800000,"Victoria",84823000
"Laguna",43400000,"Victoria",43430000
"Tarlac",36900000,"Victoria",36917000
"Catanduanes",52000000,"Viga",52010000
"Leyte",83700000,"Villaba",83751000
"Misamis Oriental",104300000,"Villanueva",104326000
"Samar (Western Samar)",86000000,"Villareal",86021000
"Pangasinan",15500000,"Villasis",15547000
"Nueva Vizcaya",25000000,"Villaverde",25014000
"Abra",140100000,"Villaviciosa",140127000
"Zamboanga del Sur",97300000,"Vincenzo A. Sagun",97341000
"Ilocos Norte",12800000,"Vintar",12823000
"Camarines Norte",51600000,"Vinzons",51612000
"Catanduanes",52000000,"Virac (capital)",52011000
"Lanao del Sur",153600000,"Wao",153630000
"Negros Oriental",74600000,"Zamboanguita",74625000
"Nueva Ecija",34900000,"Zaragoza",34932000
"Iloilo",63000000,"Zarraga",63047000
"Samar (Western Samar)",86000000,"Zumarraga",86023000
"NCR First District",133900000,"Tondo I / II",133901000
"NCR First District",133900000,"Binondo",133902000
"NCR First District",133900000,"San Nicolas",133904000
"NCR First District",133900000,"Santa Cruz",133905000
"NCR First District",133900000,"Sampaloc",133906000
"NCR First District",133900000,"San Miguel",133907000
"NCR First District",133900000,"Ermita",133908000
"NCR First District",133900000,"Intramuros",133909000
"NCR First District",133900000,"Malate",133910000
"NCR First District",133900000,"Paco",133911000
"NCR First District",133900000,"Pandacan",133912000
"NCR First District",133900000,"Port Area",133913000
"NCR First District",133900000,"Santa Ana",133914000
